,pkey,lat,lon,bid,cars,consist,d,dip,dn,fs,id,m,op,pd,pdRtpiFeedName,pid,rt,rtRtpiFeedName,rtdd,rtpiFeedName,run,wid1,wid2,timestamp
0,22723,40.75745,-73.992415,8136,,,South East Bound,1727,ESE,119 JERSEY CITY VIA CENTRAL BAYOONNE VIA JFK BLVD,6021,1,1178,Bayonne,,1860,119,,119,,10,010,0119,2018-09-26 14:47:01.066735
49,23094,40.731197,-74.068062,8136,,,South West Bound,35357,SW,119 JERSEY CITY VIA CENTRAL BAYOONNE VIA JFK BLVD,6021,1,1178,Bayonne,,1860,119,,119,,10,010,0119,2018-09-26 15:36:01.170031
50,21734,40.732908,-74.061933,8101,,,West Bound,300,W,119 NEW YORK,6027,1,1172,New York,,99396,119,,119,,12,012,0010,2018-09-26 08:54:00.674345
125,23098,40.765179,-74.023308,8274,,,North East Bound,58479,NE,119 NEW YORK,6201,1,1135,New York,,38040,119,,119,,12,012,0119,2018-09-26 15:36:01.170031
126,20948,40.74252,-74.051804,8121,,,South West Bound,26099,SW,119 JERSEY CITY VIA CENTRAL BAYOONNE VIA JFK BLVD,6030,1,1017,Bayonne,,1860,119,,119,,901,901,0119,2018-09-26 07:13:01.165369
198,21778,40.726487,-74.071362,8121,,,North East Bound,34422,NNE,119 NEW YORK,6030,1,1017,New York,,38040,119,,119,,901,901,0119,2018-09-26 08:58:01.368266
199,20953,40.689637,-74.10558,8123,,,South West Bound,54144,SSW,119 JERSEY CITY VIA CENTRAL BAYOONNE VIA JFK BLVD,6014,1,1023,Bayonne,,1860,119,,119,,902,902,0119,2018-09-26 07:13:01.165369
428,22407,40.660843,-74.127445,8123,,,South West Bound,66479,SSW,119 JERSEY CITY VIA CENTRAL BAYOONNE VIA JFK BLVD,6014,1,1023,Bayonne,,1860,119,,119,,902,902,0119,2018-09-26 13:48:01.444798
429,21023,40.653301,-74.134941,8124,,,North East Bound,1848,NNE,119 NEW YORK,6020,1,1049,New York,,38040,119,,119,,903,903,0119,2018-09-26 07:21:00.979869
494,21782,40.761589,-74.026581,8124,,,North East Bound,56880,NNE,119 NEW YORK,6020,1,1049,New York,,38040,119,,119,,903,903,0119,2018-09-26 08:58:01.368266
495,20945,40.748302,-74.047754,8122,,,North Bound,8190,NNE,119 NEW YORK,6022,1,1062,New York,,99396,119,,119,,904,904,0119,2018-09-26 07:13:01.165369
